[06/12/17 22:44:34] 10 Sec, Wait 

[06/12/17 22:44:44] = LOOP 1
[06/12/17 22:44:45] = LOOP 3
[06/12/17 22:44:46] = LOOP 3
[06/12/17 22:44:47] = LOOP 3
[06/12/17 22:44:48] = LOOP 28
[06/12/17 22:44:49] = LOOP 26
[06/12/17 22:44:50] = LOOP 21
[06/12/17 22:44:51] = LOOP 25
[06/12/17 22:44:52] = LOOP 16
[06/12/17 22:44:54] = LOOP 20
[06/12/17 22:44:55] = LOOP 20
[06/12/17 22:44:56] = LOOP 21
[06/12/17 22:44:57] = LOOP 21
[06/12/17 22:44:58] = LOOP 23
[06/12/17 22:44:59] = LOOP 22
[06/12/17 22:45:00] = LOOP 15
[06/12/17 22:45:01] = LOOP 25
[06/12/17 22:45:02] = LOOP 22
[06/12/17 22:45:03] = LOOP 17
[06/12/17 22:45:04] = LOOP 32
[06/12/17 22:45:05] = LOOP 19
[06/12/17 22:45:07] = LOOP 16
[06/12/17 22:45:08] = LOOP 17
[06/12/17 22:45:09] = LOOP 21
[06/12/17 22:45:10] = LOOP 20
[06/12/17 22:45:11] = LOOP 16
[06/12/17 22:45:12] = LOOP 19
[06/12/17 22:45:13] = LOOP 21
[06/12/17 22:45:14] = LOOP 25
[06/12/17 22:45:15] = LOOP 23
[06/12/17 22:45:17] = LOOP 28
[06/12/17 22:45:18] = LOOP 27
[06/12/17 22:45:19] = LOOP 29
[06/12/17 22:45:20] = LOOP 20
[06/12/17 22:45:21] = LOOP 32
[06/12/17 22:45:22] = LOOP 26
[06/12/17 22:45:23] = LOOP 20
[06/12/17 22:45:24] = LOOP 28
[06/12/17 22:45:25] = LOOP 21
[06/12/17 22:45:26] = LOOP 20
[06/12/17 22:45:28] = LOOP 24
[06/12/17 22:45:29] = LOOP 23
[06/12/17 22:45:30] = LOOP 20
[06/12/17 22:45:31] = LOOP 24
[06/12/17 22:45:32] = LOOP 16
[06/12/17 22:45:33] = LOOP 16
[06/12/17 22:45:34] = LOOP 26
[06/12/17 22:45:35] = LOOP 20
[06/12/17 22:45:36] = LOOP 20
[06/12/17 22:45:37] = LOOP 17
[06/12/17 22:45:38] = LOOP 19
[06/12/17 22:45:39] = LOOP 18
[06/12/17 22:45:40] = LOOP 29
[06/12/17 22:45:41] = LOOP 22
[06/12/17 22:45:42] = LOOP 28
[06/12/17 22:45:43] = LOOP 26
[06/12/17 22:45:44] = LOOP 17
[06/12/17 22:45:45] = LOOP 19
[06/12/17 22:45:46] = LOOP 24
[06/12/17 22:45:47] = LOOP 23
[06/12/17 22:45:48] = LOOP 16
[06/12/17 22:45:49] = LOOP 16
[06/12/17 22:45:50] = LOOP 20
[06/12/17 22:45:51] = LOOP 15
[06/12/17 22:45:52] = LOOP 16
[06/12/17 22:45:53] = LOOP 16
[06/12/17 22:45:54] = LOOP 24
[06/12/17 22:45:55] = LOOP 17
[06/12/17 22:45:56] = LOOP 16
[06/12/17 22:45:57] = LOOP 21
[06/12/17 22:45:58] = LOOP 21
[06/12/17 22:45:59] = LOOP 20
[06/12/17 22:46:00] = LOOP 23
[06/12/17 22:46:01] = LOOP 20
[06/12/17 22:46:02] = LOOP 20
[06/12/17 22:46:03] = LOOP 24
[06/12/17 22:46:05] = LOOP 24
[06/12/17 22:46:06] = LOOP 30
[06/12/17 22:46:07] = LOOP 20
[06/12/17 22:46:08] = LOOP 20
[06/12/17 22:46:09] = LOOP 29
[06/12/17 22:46:10] = LOOP 24
[06/12/17 22:46:11] = LOOP 25
[06/12/17 22:46:12] = LOOP 24
[06/12/17 22:46:13] = LOOP 29
[06/12/17 22:46:15] = LOOP 20
[06/12/17 22:46:16] = LOOP 19
[06/12/17 22:46:17] = LOOP 16
[06/12/17 22:46:18] = LOOP 20
[06/12/17 22:46:19] = LOOP 22
[06/12/17 22:46:20] = LOOP 19
[06/12/17 22:46:21] = LOOP 17
[06/12/17 22:46:22] = LOOP 24
[06/12/17 22:46:23] = LOOP 41
[06/12/17 22:46:24] = LOOP 31
[06/12/17 22:46:25] = LOOP 25
[06/12/17 22:46:26] = LOOP 23
[06/12/17 22:46:28] = LOOP 26
[06/12/17 22:46:29] = LOOP 30
[06/12/17 22:46:30] = LOOP 32
[06/12/17 22:46:31] = LOOP 16
[06/12/17 22:46:32] = LOOP 20
[06/12/17 22:46:33] = LOOP 23
[06/12/17 22:46:34] = LOOP 17
[06/12/17 22:46:35] = LOOP 21
[06/12/17 22:46:36] = LOOP 31
[06/12/17 22:46:37] = LOOP 21
[06/12/17 22:46:38] = LOOP 23
[06/12/17 22:46:39] = LOOP 20
[06/12/17 22:46:40] = LOOP 16
[06/12/17 22:46:41] = LOOP 20
[06/12/17 22:46:42] = LOOP 25
[06/12/17 22:46:43] = LOOP 17
[06/12/17 22:46:44] = LOOP 16
[06/12/17 22:46:45] = LOOP 20
[06/12/17 22:46:46] = LOOP 22
[06/12/17 22:46:47] = LOOP 27
[06/12/17 22:46:48] = LOOP 34
[06/12/17 22:46:49] = LOOP 28
[06/12/17 22:46:50] = LOOP 24
[06/12/17 22:46:52] = LOOP 24
[06/12/17 22:46:53] = LOOP 16
[06/12/17 22:46:54] = LOOP 22
[06/12/17 22:46:55] = LOOP 26
[06/12/17 22:46:56] = LOOP 16
[06/12/17 22:46:57] = LOOP 20
[06/12/17 22:46:58] = LOOP 23
[06/12/17 22:46:59] = LOOP 17
[06/12/17 22:47:00] = LOOP 16
[06/12/17 22:47:01] = LOOP 20
[06/12/17 22:47:02] = LOOP 21
[06/12/17 22:47:03] = LOOP 24
[06/12/17 22:47:04] = LOOP 22
[06/12/17 22:47:05] = LOOP 25
[06/12/17 22:47:06] = LOOP 26
[06/12/17 22:47:08] = LOOP 20
[06/12/17 22:47:09] = LOOP 16
[06/12/17 22:47:10] = LOOP 24
[06/12/17 22:47:11] = LOOP 21
[06/12/17 22:47:12] = LOOP 25
[06/12/17 22:47:13] = LOOP 23
[06/12/17 22:47:14] = LOOP 25
[06/12/17 22:47:15] = LOOP 24
[06/12/17 22:47:16] = LOOP 20
[06/12/17 22:47:17] = LOOP 20
[06/12/17 22:47:19] = LOOP 24
[06/12/17 22:47:20] = LOOP 26
[06/12/17 22:47:21] = LOOP 18
[06/12/17 22:47:22] = LOOP 20
[06/12/17 22:47:23] = LOOP 25
[06/12/17 22:47:24] = LOOP 25
[06/12/17 22:47:25] = LOOP 22
[06/12/17 22:47:26] = LOOP 22
[06/12/17 22:47:27] = LOOP 20
[06/12/17 22:47:28] = LOOP 25
[06/12/17 22:47:29] = LOOP 20
[06/12/17 22:47:30] = LOOP 27
[06/12/17 22:47:31] = LOOP 21
[06/12/17 22:47:32] = LOOP 16
[06/12/17 22:47:33] = LOOP 16
[06/12/17 22:47:34] = LOOP 20
[06/12/17 22:47:35] = LOOP 28
[06/12/17 22:47:37] = LOOP 25
[06/12/17 22:47:38] = LOOP 21
[06/12/17 22:47:39] = LOOP 27
[06/12/17 22:47:40] = LOOP 21
[06/12/17 22:47:41] = LOOP 25
[06/12/17 22:47:42] = LOOP 29
[06/12/17 22:47:43] = LOOP 22
[06/12/17 22:47:44] = LOOP 18
[06/12/17 22:47:45] = LOOP 20
[06/12/17 22:47:46] = LOOP 20
[06/12/17 22:47:47] = LOOP 24
[06/12/17 22:47:48] = LOOP 15
[06/12/17 22:47:49] = LOOP 22
[06/12/17 22:47:50] = LOOP 27
[06/12/17 22:47:51] = LOOP 21
[06/12/17 22:47:53] = LOOP 17
[06/12/17 22:47:54] = LOOP 17
[06/12/17 22:47:55] = LOOP 21
[06/12/17 22:47:56] = LOOP 26
[06/12/17 22:47:57] = LOOP 25
[06/12/17 22:47:58] = LOOP 27
[06/12/17 22:47:59] = LOOP 27
[06/12/17 22:48:00] = LOOP 20
[06/12/17 22:48:01] = LOOP 20
[06/12/17 22:48:02] = LOOP 16
[06/12/17 22:48:03] = LOOP 17
[06/12/17 22:48:04] = LOOP 17
